Events,Date,Venue,City,Attendance,Total Gate,Buyrate,fight_odds_url,scraped,Promotion
UFC Fight Night: Holloway vs. Rodríguez,2021-11-13 00:00:00,UFC Apex,"Enterprise, Nevada, United States",Not announced,,,https://www.bestfightodds.com/events/ufc-fight-night-holloway-vs-rodriguez-2224,1,
UFC 176,2014-08-02 00:00:00,Staples Center,"Los Angeles, California",,,,,1,
UFC 268,2021-11-06 00:00:00,Madison Square Garden,"New York City, New York, United States","20,715","$9,900,000",,https://www.bestfightodds.com/events/ufc-268-usman-vs-covington-2-2246,1,Ultimate Fighting Championship
UFC 267,2021-10-30 00:00:00,Etihad Arena,"Abu Dhabi, United Arab Emirates","10,171",,,https://www.bestfightodds.com/search?query=UFC%20267,1,Ultimate Fighting Championship
UFC Fight Night: Costa vs. Vettori,2021-10-23 00:00:00,UFC Apex,"Enterprise, Nevada, United States",Not announced,,,https://www.bestfightodds.com/events/ufc-fight-night-costa-vs-vettori-2203,1,Ultimate Fighting Championship
UFC Fight Night: Ladd vs. Dumont,2021-10-16 00:00:00,UFC Apex,"Enterprise, Nevada, United States",Not announced,,,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178,1,Ultimate Fighting Championship
UFC Fight Night: Dern vs. Rodriguez,2021-10-09 00:00:00,UFC Apex,"Enterprise, Nevada, United States",Not announced,,,https://www.bestfightodds.com/events/ufc-fight-night-dern-vs-rodriguez-2173,1,Ultimate Fighting Championship
UFC Fight Night: Santos vs. Walker,2021-10-02 00:00:00,UFC Apex,"Enterprise, Nevada, United States",Not announced,,,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167,1,Ultimate Fighting Championship
UFC 266,2021-09-25 00:00:00,T-Mobile Arena,"Paradise, Nevada, United States","19,029","$5,609,906",,https://www.bestfightodds.com/search?query=UFC%20266,1,Ultimate Fighting Championship
UFC Fight Night: Smith vs. Spann,2021-09-18 00:00:00,UFC Apex,"Enterprise, Nevada, United States",Not announced,,,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,1,Ultimate Fighting Championship
UFC Fight Night: Brunson vs. Till,2021-09-04 00:00:00,UFC Apex,"Enterprise, Nevada",Not announced,,,https://www.bestfightodds.com/events/ufc-fight-night-191-2213,1,Ultimate Fighting Championship
UFC on ESPN: Barboza vs. Chikadze,2021-08-28 00:00:00,UFC Apex,"Enterprise, Nevada, United States",Not announced,,,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251,1,Ultimate Fighting Championship
UFC on ESPN: Cannonier vs. Gastelum,2021-08-21 00:00:00,UFC Apex,"Enterprise, Nevada, United States",Not announced,,,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166,1,Ultimate Fighting Championship
