Bet,betsite,dates,odds,fighter1,fighter2,class,url
Israel Adesanya,DraftKings,1619627493000,-250,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,DraftKings,1621291052000,-275,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,DraftKings,1621462929000,-265,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,DraftKings,1622645526000,-250,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,DraftKings,1622809341000,-286,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,DraftKings,1622945744000,-250,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,DraftKings,1623313824000,-275,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,DraftKings,1623483098000,-278,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,DraftKings,1623524437000,-278,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,DraftKings,1623533793000,-265,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,DraftKings,1623545929000,-235,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,Bet365,1619375927000,-250,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,Bet365,1619388887000,-278,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,Bet365,1619439167000,-250,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,Bet365,1620217848000,-278,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,Bet365,1622047847000,-250,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,Bet365,1622492927000,-278,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,Bet365,1622668247000,-250,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
Israel Adesanya,Bet365,1622728127000,-227,Israel Adesanya,Marvin Vettori,even,https://www.bestfightodds.com/search?query=UFC%20263
