Bet,betsite,dates,odds,fighter1,fighter2,class,url
Paul Felder,Bet365,1605021726000,140,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,Bet365,1605030006000,162,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,Bet365,1605368285000,170,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,Bet365,1605406210000,175,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,Bet365,1605406569000,180,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605020283000,145,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605024364000,140,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605026406000,145,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605026887000,150,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605035764000,160,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605037563000,167,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605037923000,168,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605039486000,170,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605041043000,155,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605063365000,160,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605066847000,165,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605201246000,170,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605221407000,165,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605295862000,170,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605316803000,172,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605350167000,173,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
Paul Felder,5D,1605369603000,175,Paul Felder,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
