Bet,betsite,dates,odds,fighter1,fighter2,class,url
Brian Ortega,Bet365,1601971569000,175,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1601992692000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1601992810000,162,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602032645000,150,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602393005000,162,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602502324000,150,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602534033000,162,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602576249000,150,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602635525000,162,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602830529000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602958929000,175,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602965649000,162,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602970806000,175,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602974045000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602974169000,162,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602975004000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Bet365,1602983048000,162,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1601679494000,165,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1601682250000,185,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1601984405000,165,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602004095000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602009496000,155,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602087123000,160,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602437286000,165,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602449647000,155,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602466322000,150,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602469684000,155,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602508326000,158,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602530642000,160,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602536648000,155,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602619323000,160,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602708243000,165,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602739206000,160,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602854647000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602870009000,175,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602883447000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602906701000,175,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602950652000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602951847000,172,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602957483000,180,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602959283000,185,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602969006000,175,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602978003000,185,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602980287000,188,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602981487000,177,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602981847000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602982927000,175,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602983283000,177,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,5D,1602983523000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1601624780000,180,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1601692938000,185,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1601792170000,200,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1601833216000,190,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1601873648000,185,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1601896329000,175,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1601899087000,170,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1601912532000,180,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1601984892000,175,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1601999900000,165,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1602004699000,163,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1602006503000,160,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1602118331000,155,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1602118450000,159,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1602118571000,155,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1602384853000,160,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1602394449000,165,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
Brian Ortega,Ref,1602449652000,152,Brian Ortega,Chan Sung Jung,even,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
