Bet,betsite,dates,odds,fighter1,fighter2,class,url
Johnny Walker,BetMGM,1624043464000,130,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,BetMGM,1631077223000,145,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,BetMGM,1632883224000,135,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,BetMGM,1633112664000,125,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,BetMGM,1633112784000,125,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,BetMGM,1633112903000,130,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1631052497000,130,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1631053808000,150,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1631370974000,130,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1631375290000,150,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1631553486000,140,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1631968467000,150,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1631975665000,140,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1631978780000,150,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1632302782000,140,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1632334346000,130,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
Johnny Walker,DraftKings,1632334932000,150,Johnny Walker,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
