Bet,betsite,dates,odds,fighter1,fighter2,class,url
Fight won't start round 4,5D,1608064447000,-105,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,5D,1608092884000,-110,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,5D,1608093487000,105,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,5D,1608155638000,-115,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,5D,1608330848000,-125,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,5D,1608342007000,-120,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,5D,1608398167000,-125,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1607979854000,220,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1607989576000,200,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1608003015000,190,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1608064095000,180,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1608069977000,110,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1608125657000,100,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1608247339000,-150,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1608302907000,-160,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1608410902000,-160,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1608430571000,-150,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 4,Ref,1608431650000,-150,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,5D,1608064447000,100,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,5D,1608092884000,110,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,5D,1608093606000,105,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,5D,1608155638000,115,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,5D,1608265083000,120,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1607979614000,-210,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1607980215000,-200,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1607982015000,-180,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1607989576000,-165,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1608002894000,-160,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1608003015000,-155,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1608064095000,-145,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1608069977000,110,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1608125657000,120,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1608302907000,130,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight starts round 5,Ref,1608430571000,120,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
Fight won't start round 5,5D,1608064447000,-130,Geoff Neal,Stephen Thompson,odd,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
