Bet,betsite,dates,odds,fighter1,fighter2,class,url
Edson Barboza,BetMGM,1628298744000,100,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,BetMGM,1628660545000,-105,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,BetMGM,1629740423000,-115,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,BetMGM,1630125144000,-125,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,DraftKings,1628073864000,105,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,DraftKings,1628142140000,100,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,DraftKings,1628526729000,-110,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,DraftKings,1629104884000,-105,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,DraftKings,1629303737000,-115,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,DraftKings,1629308657000,-110,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,DraftKings,1629308899000,-115,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,DraftKings,1629309257000,-110,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,DraftKings,1629330139000,-115,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
Edson Barboza,DraftKings,1629331939000,-110,Edson Barboza,Giga Chikadze,even,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
