Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jared Cannonier,BetMGM,1628293823000,-185,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,BetMGM,1628400263000,-165,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,BetMGM,1629358105000,-150,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,BetMGM,1629521663000,-145,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,BetMGM,1629592463000,-150,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,BetMGM,1629606982000,-155,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,DraftKings,1628160742000,-220,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,DraftKings,1628220737000,-200,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,DraftKings,1628225187000,-195,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,DraftKings,1628225309000,-200,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,DraftKings,1628225434000,-195,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,DraftKings,1628268270000,-180,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,DraftKings,1628271028000,-190,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,DraftKings,1628280153000,-180,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,DraftKings,1628308703000,-170,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
Jared Cannonier,DraftKings,1628398816000,-165,Jared Cannonier,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
