Bet,betsite,dates,odds,fighter1,fighter2,class,url
Sean Strickland,BetMGM,1626104543000,-175,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,BetMGM,1626706822000,-225,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,BetMGM,1627539263000,-225,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,BetMGM,1627776503000,-200,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1626886450000,-220,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1626907939000,-210,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1627102336000,-200,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1627106057000,-210,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1627174699000,-220,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1627229285000,-225,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1627229658000,-220,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1627242015000,-210,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1627336810000,-220,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1627594332000,-210,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1627644381000,-200,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
Sean Strickland,DraftKings,1627748535000,-210,Sean Strickland,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
