Bet,betsite,dates,odds,fighter1,fighter2,class,url
Islam Makhachev,BetMGM,1624636046000,-400,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,BetMGM,1624636227000,-450,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,BetMGM,1624680564000,-650,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,BetMGM,1626395561000,-700,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,DraftKings,1625050443000,-670,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,DraftKings,1625318057000,-625,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,DraftKings,1626188584000,-670,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,DraftKings,1626448706000,-720,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,DraftKings,1626471139000,-760,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,DraftKings,1626503781000,-720,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,DraftKings,1626521304000,-760,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,DraftKings,1626524169000,-720,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
Islam Makhachev,DraftKings,1626535218000,-760,Islam Makhachev,Thiago Moises,even,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
