Bet,betsite,dates,odds,fighter1,fighter2,class,url
Dominick Reyes,DraftKings,1618319431000,100,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,DraftKings,1618934302000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,DraftKings,1619722293000,112,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,DraftKings,1619783716000,107,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,DraftKings,1619872077000,105,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,DraftKings,1619927158000,-103,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,DraftKings,1619928041000,-106,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,DraftKings,1619928379000,-112,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,Bet365,1617713447000,100,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,Bet365,1618936487000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,Bet365,1619727648000,100,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,Bet365,1619727767000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,Bet365,1619889887000,100,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,Bet365,1619923127000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,Bet365,1619927927000,100,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,Bet365,1619928526000,-111,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,BetWay,1617534394000,-110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,BetWay,1618911514000,105,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,BetWay,1619351072000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,BetWay,1619504073000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,BetWay,1619809596000,105,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,BetWay,1619863475000,100,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1617474207000,-110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1617651748000,105,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1618778368000,100,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1618820187000,105,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1618853307000,115,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1618861828000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619034388000,115,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619296708000,125,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619361928000,120,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619377467000,125,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619460987000,130,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619465128000,125,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619472807000,120,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619472987000,115,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619473168000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619631987000,105,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619647468000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619705488000,115,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619738008000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619804847000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619806228000,105,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619827050000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619837548000,115,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619839347000,110,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619911948000,107,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619913088000,102,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
Dominick Reyes,5D,1619920407000,100,Dominick Reyes,Jiri Prochazka,even,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
