Bet,betsite,dates,odds,fighter1,fighter2,class,url
Glover Teixeira,Bet365,1603628045000,170,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,Bet365,1603728969000,180,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,Bet365,1604395689000,187,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,Bet365,1604409732000,200,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1603480087000,160,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1603581723000,170,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1603649169000,175,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1603917723000,180,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1603999091000,185,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1604178006000,180,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1604251932000,185,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1604286963000,190,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1604425207000,200,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1604690886000,210,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1604696527000,205,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5D,1604783526000,200,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
