Bet,betsite,dates,odds,fighter1,fighter2,class,url
Dustin Poirier,5Dimes,1559676066000,+280,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1559679487000,+250,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1559751668000,+320,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1559751847000,+310,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1559765525000,+295,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1559778128000,+285,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1559796848000,+310,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1559984048000,+285,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1560125346000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1560642124000,+290,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1560916626000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1561694585000,+290,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1561694767000,+295,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1562106787000,+285,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1562400369000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1562896987000,+315,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1563119469000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1563157265000,+290,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1563578106000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1563773774000,+295,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1564084093000,+310,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1564172290000,+305,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1564267172000,+315,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1565037369000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1565211791000,+285,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1565648290000,+275,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1565879770000,+290,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1565881758000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566071290000,+305,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566106930000,+310,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566157866000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566160569000,+295,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566249851000,+285,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566254169000,+275,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566325813000,+290,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566397270000,+280,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566420851000,+290,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566426614000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566504733000,+285,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566719402000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566739628000,+295,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566827290000,+300,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566856092000,+310,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566856268000,+315,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1566929709000,+320,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567023669000,+325,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567070651000,+335,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567111149000,+340,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567344792000,+350,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567429747000,+360,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567546030000,+365,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567577527000,+360,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567648632000,+345,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567654960000,+360,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567655109000,+355,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567692371000,+360,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567715602000,+330,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567716489000,+360,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567737914000,+350,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567783089000,+360,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567783271000,+365,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567787950000,+355,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567863188000,+375,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567867867000,+365,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567870394000,+340,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567874239000,+355,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567878852000,+365,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567882090000,+380,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567883170000,+365,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567883350000,+355,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567887127000,+340,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,5Dimes,1567888210000,+325,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,BetDSI,1566677896000,+287,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,BetDSI,1566679698000,+281,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,BetDSI,1566777787000,+287,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,BetDSI,1566848891000,+291,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,BetDSI,1566856990000,+297,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
Dustin Poirier,BetDSI,1566969489000,+301,Dustin Poirier,Khabib Nurmagomedov,even,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
