Bet,betsite,dates,odds,fighter1,fighter2,class,url
Fabio Maldonado,5Dimes,1400173028000,+335,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,5Dimes,1400176811000,+420,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,5Dimes,1400635445000,+350,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,5Dimes,1401040266000,+400,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,5Dimes,1401472446000,+450,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,5Dimes,1401556328000,+470,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,5Dimes,1401571626000,+480,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,5Dimes,1401574507000,+490,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,5Dimes,1401580446000,+500,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,5Dimes,1401594306000,+535,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BetDSI,1401385687000,+390,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BetDSI,1401386766000,+425,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BetDSI,1401573968000,+440,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BetDSI,1401588009000,+445,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BetDSI,1401591427000,+495,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BetDSI,1401593767000,+510,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BookMaker,1401385867000,+390,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BookMaker,1401386950000,+425,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BookMaker,1401574148000,+440,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BookMaker,1401587468000,+439,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BookMaker,1401588009000,+445,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BookMaker,1401589447000,+459,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BookMaker,1401591247000,+528,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BookMaker,1401591609000,+495,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,BookMaker,1401594127000,+510,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,SportBet,1400173030000,+360,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,SportBet,1400176813000,+454,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
Fabio Maldonado,SportBet,1400635447000,+377,Fabio Maldonado,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
