Bet,betsite,dates,odds,fighter1,fighter2,class,url
Kamaru Usman,5Dimes,1543166827000,-215,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543167005000,-285,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543167193000,-265,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543167368000,-305,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543168627000,-285,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543170968000,-300,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543184464000,-280,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543189867000,-260,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543197067000,-275,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543209488000,-285,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543212728000,-295,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543224609000,-305,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543242968000,-290,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543250709000,-290,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543271046000,-275,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543290489000,-265,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543319114000,-290,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543325230000,-270,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543356370000,-275,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543410916000,-270,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543436649000,-260,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
Kamaru Usman,5Dimes,1543444216000,-265,Kamaru Usman,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
