Bet,betsite,dates,odds,fighter1,fighter2,class,url
Justin Gaethje,5Dimes,1499183106000,-120,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499183287000,+100,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499183825000,+120,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499184906000,+110,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499185265000,+120,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499186886000,+140,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499187427000,+125,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499189948000,+135,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499210468000,+145,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499226667000,+130,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499252228000,+140,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499257087000,+145,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499373366000,+150,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499400008000,+145,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499409007000,+140,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499435286000,+135,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499454548000,+130,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499466429000,+120,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499467688000,+115,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499468047000,+110,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499469308000,+125,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499471287000,+120,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499480287000,+130,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499481545000,+135,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499484066000,+140,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499485325000,+145,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499485507000,+150,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,5Dimes,1499485867000,+145,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499207048000,+137,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499227388000,+133,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499230267000,+125,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499288768000,+135,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499345108000,+131,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499345468000,+135,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499431327000,+130,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499457969000,+120,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499466967000,+115,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499468769000,+107,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499470208000,+108,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499477588000,+105,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499482448000,+124,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BetDSI,1499485867000,+128,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499206508000,+137,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499226848000,+133,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499229728000,+125,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499229908000,+133,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499230267000,+125,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499288415000,+135,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499430968000,+130,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499457789000,+120,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499458150000,+130,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499458330000,+120,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499466431000,+115,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499466613000,+120,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499466967000,+115,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499468409000,+107,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499469489000,+108,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499470028000,+107,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499470208000,+108,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499477229000,+105,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499481908000,+124,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499482089000,+105,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499482268000,+124,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499485326000,+130,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,BookMaker,1499485508000,+128,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
Justin Gaethje,SportBet,1499183108000,-114,Justin Gaethje,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
