Bet,betsite,dates,odds,fighter1,fighter2,class,url
Evan Tanner,5Dimes,1208874007000,-120,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1208899209000,-130,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1208902810000,-185,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1209121207000,-190,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1210230010000,-260,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1210246808000,-230,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1210418409000,-210,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1211024411000,-230,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1211472009000,-225,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1211773210000,-220,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1211775610000,-210,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1211887207000,-200,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1213177214000,-185,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1213736415000,-190,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1213754412000,-175,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1213786812000,-185,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1213950013000,-175,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1214001614000,-170,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1214037612000,-165,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1214067618000,-175,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1214091615000,-170,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1214096415000,-165,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1214100015000,-160,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1214104823000,-145,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,5Dimes,1214106018000,-160,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1210206040000,-195,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1211409676000,-200,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1211410878000,-215,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1213009228000,-205,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1213644051000,-200,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1213992087000,-185,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1214073683000,-180,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1214089272000,-155,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1214091656000,-165,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1214092846000,-175,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1214094050000,-165,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1214103654000,-160,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1214104856000,-155,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,BookMaker,1214106051000,-160,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,SportBet,1213486845000,-205,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,SportBet,1214060444000,-180,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,SportBet,1214062843000,-185,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,SportBet,1214104850000,-145,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,Bovada,1210966822000,-245,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,Bovada,1211782819000,-225,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Evan Tanner,Bovada,1213914020000,-200,Evan Tanner,Kendall Grove,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
