Bet,betsite,dates,odds,fighter1,fighter2,class,url
Rich Franklin,5Dimes,1249574411000,-140,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1249587011000,-180,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1249748111000,-170,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1249969520000,-175,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1249992910000,-165,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1250369128000,-155,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1250372718000,-175,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1251031511000,-170,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1251378013000,-165,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1251981912000,-160,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1252290615000,-160,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1252378816000,-155,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253085313000,-150,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253122214000,-145,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253223914000,-140,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253226620000,-125,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253228415000,-130,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253253613000,-125,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253265313000,-120,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253290521000,-125,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253311226000,-130,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253314825000,-132,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253318413000,-130,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253325630000,-127,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253326532000,-110,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253327423000,-135,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253330126000,-115,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253337320000,-120,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253345414000,-110,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253347221000,-113,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253348123000,-115,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253361616000,-120,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253399416000,-125,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253406618000,-120,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,5Dimes,1253416517000,-135,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1249587024000,-175,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1250894739000,-170,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1251417639000,-165,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1251945035000,-155,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253223032000,-140,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253223921000,-125,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253225733000,-130,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253226627000,-135,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253233830000,-140,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253250922000,-130,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253322039000,-123,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253322935000,-110,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253323836000,-115,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253324722000,-110,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Rich Franklin,BookMaker,1253325638000,-125,Rich Franklin,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
