Bet,betsite,dates,odds,fighter1,fighter2,class,url
Forrest Griffin,5Dimes,1256338817000,-180,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1256342426000,-150,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1256383816000,-160,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1256414441000,-165,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1257023715000,-155,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1257178513000,-150,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1257250512000,-160,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1257347725000,-160,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1257424212000,-155,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258199125000,-150,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258362911000,-155,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258507822000,-145,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258569027000,-155,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258600528000,-150,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258633819000,-145,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258641020000,-130,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258641924000,-135,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258731017000,-125,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258735525000,-135,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258742715000,-138,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258746327000,-135,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258762522000,-130,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258797626000,-125,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258851628000,-122,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258857022000,-125,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258861523000,-130,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,5Dimes,1258865119000,-140,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1256504425000,-142,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1256521521000,-155,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1256534124000,-165,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1256785216000,-167,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1256926540000,-168,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1257131720000,-170,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1257269425000,-168,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1257990325000,-165,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1258435842000,-170,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1258437629000,-150,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1258443028000,-145,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1258507829000,-135,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1258520426000,-150,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1258566329000,-142,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
Forrest Griffin,BookMaker,1258587932000,-140,Forrest Griffin,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
