Bet,betsite,dates,odds,fighter1,fighter2,class,url
Frank Mir,5Dimes,1282158084000,-280,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
Frank Mir,5Dimes,1282158971000,-210,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
Frank Mir,5Dimes,1282206626000,-195,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
Frank Mir,5Dimes,1282220128000,-140,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
Frank Mir,5Dimes,1282230930000,-160,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
Frank Mir,5Dimes,1282232729000,-180,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
Frank Mir,5Dimes,1282240858000,-260,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
Frank Mir,5Dimes,1282307427000,-240,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
Frank Mir,5Dimes,1282328139000,-225,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
Frank Mir,5Dimes,1282329667000,-200,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
Frank Mir,5Dimes,1282559423000,-210,Frank Mir,Mirko Filipovic,even,https://www.bestfightodds.com/search?query=UFC%20119%3A%20Mir%20vs.%20Cro%20Cop
