Bet,betsite,dates,odds,fighter1,fighter2,class,url
Lyoto Machida,5Dimes,1280162739000,-260,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1280329252000,-250,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1284740138000,-260,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1285142436000,-250,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1286883927000,-260,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1288842036000,-250,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1289715030000,-255,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1289928925000,-230,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1290205527000,-225,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1290263127000,-230,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1290278426000,-235,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1290281125000,-240,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,5Dimes,1290298224000,-235,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1280121336000,-205,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1280126727000,-215,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1280158231000,-240,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1280175344000,-255,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1286089231000,-265,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1286686844000,-275,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1289705751000,-300,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1289863229000,-275,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290114034000,-255,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290116731000,-265,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290124231000,-260,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290235833000,-255,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290241839000,-250,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290285632000,-245,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290287739000,-246,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290290131000,-245,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290291034000,-240,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290292533000,-236,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290293131000,-235,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290297038000,-225,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290300030000,-220,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290301831000,-215,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290302129000,-220,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290302429000,-240,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290305428000,-237,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290305728000,-238,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290306928000,-236,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290308730000,-225,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290309033000,-223,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290309341000,-224,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290312635000,-225,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290314434000,-240,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,BookMaker,1290315330000,-245,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1280162794000,-260,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1280329296000,-250,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1284740189000,-260,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1285142494000,-250,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1286883956000,-260,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1288842081000,-250,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1289714779000,-255,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1289928944000,-230,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1290193322000,-234,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1290278150000,-239,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1290281150000,-249,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,SportBet,1290298250000,-239,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1280175341000,-250,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1285338648000,-275,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1285604124000,-290,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1285858827000,-340,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1287109835000,-290,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1289324127000,-300,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1289914824000,-280,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1290259526000,-270,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1290293125000,-265,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1290296432000,-280,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1290301525000,-260,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Bovada,1290309330000,-250,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Sportsbook,1280173563000,-275,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Sportsbook,1290171341000,-260,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Sportsbook,1290312937000,-225,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1280181675000,-240,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1280185273000,-241,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1281819671000,-240,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1284604274000,-235,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1284666367000,-241,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1289412344000,-252,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1289419849000,-241,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1289862064000,-236,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1289862372000,-224,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1289931040000,-227,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1289931340000,-225,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1290147349000,-228,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1290150338000,-232,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1290180643000,-224,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1290187245000,-212,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1290188141000,-218,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1290189048000,-224,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1290198044000,-219,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Lyoto Machida,Pinnacle,1290202548000,-216,Lyoto Machida,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
