Bet,betsite,dates,odds,fighter1,fighter2,class,url
Frankie Edgar,5Dimes,1284042642000,+105,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1284664518000,+115,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1285160420000,+130,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1285309839000,+120,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1287231347000,+130,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1288604422000,+125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1289794527000,+135,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1290510925000,+130,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1291113628000,+125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1291328133000,+126,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1291328436000,+125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1291461624000,+120,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1291648824000,+125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1291932026000,+120,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1292867425000,+125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1293294638000,+120,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1293566125000,+125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1293687027000,+130,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1293725426000,+125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1293805526000,+132,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1293888325000,+128,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1293914724000,+133,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1293936024000,+142,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,5Dimes,1293944128000,+137,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,BookMaker,1284010255000,+100,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,BookMaker,1284050728000,+115,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,BookMaker,1285042538000,+125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,BookMaker,1285058723000,+120,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,BookMaker,1286686844000,+125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,BookMaker,1288489831000,+120,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,BookMaker,1291858528000,+115,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,BookMaker,1293639331000,+118,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,BookMaker,1293657633000,+115,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
Frankie Edgar,BookMaker,1293840035000,+110,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-125-resolution-332
