Bet,betsite,dates,odds,fighter1,fighter2,class,url
B.J. Penn,5Dimes,1315854003000,-135,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1316032203000,-135,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1316175303000,-130,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1316782504000,-125,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1317033903000,-120,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1317383403000,-115,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1318133703000,-120,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1318314903000,-125,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1318426503000,-115,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1318474502000,-120,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1318521603000,-115,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1318833603000,-110,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1318948204000,-115,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1318950303000,-120,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1318981803000,-125,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1318983003000,-120,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319120703000,-115,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319311203000,-120,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319402103000,-115,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319469303000,-125,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319538903000,-130,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319576403000,-135,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319724303000,-140,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319739603000,-135,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319858103000,-125,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319901303000,-140,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319901605000,-135,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319912103000,-130,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319916303000,-127,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319918705000,-125,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319921103000,-120,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319928603000,-117,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319929803000,-115,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319930103000,-112,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319932803000,-116,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319933104000,-115,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319934004000,-110,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319935803000,-120,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
B.J. Penn,5Dimes,1319936704000,-105,B.J. Penn,Nick Diaz,even,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
