Bet,betsite,dates,odds,fighter1,fighter2,class,url
Dan Henderson,5Dimes,1363299304000,+100,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1363300503000,-140,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1363302904000,-130,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1363305607000,-120,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1364308805000,-115,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1365636904000,-110,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1367442305000,-105,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1367443805000,+100,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1369547404000,-105,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1369751105000,+100,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1370801711000,+105,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1370802612000,+110,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1370807110000,+105,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371143889000,+110,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371194106000,+105,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371236772000,+110,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371247926000,+115,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371308771000,+120,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371322989000,+125,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371323889000,+130,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371331629000,+135,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371333069000,+145,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371343509000,+150,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371350345000,+155,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371353945000,+160,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371354489000,+165,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371354670000,+170,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,5Dimes,1371355034000,+175,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1370721915000,-115,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371057134000,-110,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371139028000,+100,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371167468000,+105,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371323171000,+120,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371324432000,+115,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371333972000,+120,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371343871000,+130,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371349809000,+135,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371351612000,+140,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371352332000,+150,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BetDSI,1371354674000,+155,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1370721916000,-115,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371057311000,-110,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371057674000,-105,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371139212000,+100,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371167468000,+105,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371323533000,+120,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371333790000,+130,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371343872000,+135,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371349637000,+142,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371351069000,+145,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371352691000,+155,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,BookMaker,1371354494000,+160,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1363299331000,+106,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1363300529000,-134,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1363302935000,-124,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1363305634000,-114,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1364308838000,-111,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1365636933000,-107,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1367442044000,-102,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1367443839000,+103,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1369547428000,-102,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1369751134000,+103,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1370801716000,+108,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1370802617000,+113,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1370807116000,+108,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1371143896000,+113,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1371194114000,+108,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1371247934000,+113,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1371308778000,+118,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1371322997000,+123,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
Dan Henderson,SportBet,1371323896000,+128,Dan Henderson,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
