Bet,betsite,dates,odds,fighter1,fighter2,class,url
Johny Hendricks,5Dimes,1387034663000,-290,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1387325531000,-310,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1387563491000,-350,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1388425510000,-400,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1388851401000,-400,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1390351001000,-425,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1390397235000,-390,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1391018051000,-425,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1391700430000,-340,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1393306772000,-350,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1393479907000,-370,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1393732625000,-400,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1394387655000,-485,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1394389988000,-500,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1394390708000,-600,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1394391607000,-525,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
Johny Hendricks,5Dimes,1394392154000,-550,Johny Hendricks,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
