Bet,betsite,dates,odds,fighter1,fighter2,class,url
Fabricio Werdum,5Dimes,1457391066000,-225,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1457547127000,-185,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1457552886000,-185,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1458579788000,-170,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1459171626000,-165,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1459704606000,-170,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1460471586000,-160,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1462801864000,-150,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1462897267000,-145,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1462989966000,-150,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463067381000,-155,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463068806000,-160,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463173206000,-165,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463173387000,-160,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463234767000,-155,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463235487000,-160,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463245322000,-155,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463250066000,-160,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463256905000,-165,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463258013000,-160,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463266446000,-165,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463274186000,-170,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463277968000,-175,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463281028000,-185,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463284289000,-175,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463284985000,-170,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463285166000,-175,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,5Dimes,1463286065000,-185,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1457678527000,-185,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1458835750000,-170,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1459635498000,-165,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1461861019000,-160,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1462846506000,-150,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1462929848000,-151,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1463071686000,-162,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1463094379000,-165,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1463173387000,-173,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1463206519000,-174,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1463206698000,-175,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1463241071000,-170,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1463241247000,-175,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1463241426000,-170,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
Fabricio Werdum,BetDSI,1463258347000,-175,Fabricio Werdum,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
