Bet,betsite,dates,odds,fighter1,fighter2,class,url
Luke Rockhold,5Dimes,1463674149000,-1050,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1463677747000,-800,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1463719888000,-925,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1463846406000,-900,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1463952605000,-1000,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1464109805000,-1100,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1464661472000,-1050,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1464721029000,-1000,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1464736891000,-900,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1464804572000,-800,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1464899227000,-700,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1464901385000,-650,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1464902644000,-600,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1464902827000,-650,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1464968346000,-660,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1465067886000,-705,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1465073467000,-680,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1465078505000,-660,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1465097764000,-605,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1465101004000,-705,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,5Dimes,1465101904000,-750,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464122012000,-1000,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464323046000,-1041,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464369152000,-1050,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464396182000,-1086,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464396306000,-1059,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464396487000,-1086,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464418832000,-1105,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464588365000,-1117,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464588573000,-1129,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464592172000,-1141,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464629224000,-1094,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464648093000,-950,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464798246000,-900,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464885545000,-905,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464885727000,-937,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464901385000,-750,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464901925000,-775,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464905526000,-735,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464984781000,-739,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1464988686000,-700,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1465063925000,-702,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1465070947000,-704,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
Luke Rockhold,BetDSI,1465071307000,-727,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
