Bet,betsite,dates,odds,fighter1,fighter2,class,url
Germaine de Randamie,5Dimes,1484605807000,+100,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1484607787000,-115,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1484607966000,+100,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1484618047000,-115,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1484631731000,-110,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1484646678000,-115,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1484708407000,-110,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1484839448000,-105,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1485667203000,-120,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1486317424000,-125,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1486640526000,-120,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1486652417000,-125,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1486672386000,-130,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1486700824000,-135,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1486753565000,-140,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1486753925000,-135,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1486759685000,-130,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1486789757000,-125,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
Germaine de Randamie,5Dimes,1486811887000,-130,Germaine de Randamie,Holly Holm,even,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
