Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alexander Gustafsson,5Dimes,1538065629000,+150,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1538067069000,+160,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1538067789000,+170,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1538068331000,+175,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1538069591000,+180,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1538900467000,+205,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1539154447000,+215,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1539305833000,+220,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1539497350000,+200,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1539534967000,+180,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1539535149000,+210,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
Alexander Gustafsson,5Dimes,1539535329000,+215,Alexander Gustafsson,Jon Jones,even,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
