Bet,betsite,dates,odds,fighter1,fighter2,class,url
Georges St-Pierre,5Dimes,1214595624000,-250,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1214617223000,-260,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1214630430000,-300,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1215061243000,-300,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1215303634000,-310,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1215308434000,-320,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1215355216000,-320,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1215517217000,-310,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1217172014000,-320,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1217866818000,-330,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1217941218000,-350,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1218022822000,-345,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1218092420000,-360,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1218098444000,-350,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1218146419000,-355,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1218181219000,-360,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1218308441000,-340,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1218319245000,-350,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1218333637000,-360,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1218338450000,-390,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,5Dimes,1218339642000,-395,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,BookMaker,1215133264000,-300,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,BookMaker,1215248470000,-320,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,BookMaker,1217356841000,-350,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,BookMaker,1217995266000,-375,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
Georges St-Pierre,BookMaker,1218004850000,-360,Georges St-Pierre,Jon Fitch,even,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy
