Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anderson Silva,5Dimes,1220637619000,-800,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1220734822000,-850,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1220961611000,-800,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1224522010000,-700,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1224717615000,-670,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1224720015000,-620,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1224876011000,-650,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1224888012000,-750,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1224950416000,-700,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1224970814000,-650,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1224972013000,-675,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,5Dimes,1224984009000,-630,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,BookMaker,1220550089000,-370,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,BookMaker,1220557293000,-700,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,BookMaker,1220560910000,-750,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,BookMaker,1220731315000,-725,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Anderson Silva,BookMaker,1224699697000,-600,Anderson Silva,Patrick Cote,even,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
