Bet,betsite,dates,odds,fighter1,fighter2,class,url
Dan Henderson,5Dimes,1223580012000,+100,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1223584820000,-125,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1223846413000,-130,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1224744014000,-140,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1224926417000,-150,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1225398012000,-135,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1229616009000,-140,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1230290412000,-135,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1230507613000,-140,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1231044010000,-135,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1231993220000,-130,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1232017219000,-115,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,5Dimes,1232108422000,-125,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,BookMaker,1223578974000,-140,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,BookMaker,1224217382000,-130,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,BookMaker,1231979070000,-125,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Dan Henderson,BookMaker,1232177029000,-135,Dan Henderson,Rich Franklin,even,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
