Bet,betsite,dates,odds,fighter1,fighter2,class,url
Derek Brunson,5Dimes,1508712664000,-160,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1508712844000,-180,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1508713026000,-170,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1508793308000,-175,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1508811669000,-170,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1508849647000,-175,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1508849828000,-170,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1508943258000,-165,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1508949369000,-160,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1509035772000,-155,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1509116050000,-145,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1509141973000,-150,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1509207128000,-155,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1509242406000,-150,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,5Dimes,1509246185000,-145,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,BetDSI,1508854513000,-165,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,BetDSI,1509246726000,-155,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,BookMaker,1508854337000,-165,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,BookMaker,1509246547000,-155,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1508712666000,-154,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1508712845000,-174,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1508713028000,-164,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1508793310000,-172,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1508811670000,-167,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1508849649000,-172,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1508849831000,-167,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1508943260000,-162,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1508949371000,-157,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1509035775000,-152,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1509116052000,-147,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1509141976000,-152,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1509207132000,-157,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1509242408000,-152,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportBet,1509246187000,-147,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Bovada,1508772608000,-170,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Bovada,1508798706000,-165,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Bovada,1508857215000,-170,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Bovada,1509026047000,-160,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Bovada,1509138188000,-155,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Bovada,1509225308000,-165,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Bovada,1509238986000,-160,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Bovada,1509246186000,-155,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Bovada,1509246367000,-150,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Bovada,1509248722000,-160,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Sportsbook,1508958566000,-160,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Sportsbook,1509243666000,-155,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,William H.,1508759829000,-161,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,William H.,1508919313000,-175,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508716812000,-147,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508717889000,-148,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508718069000,-149,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508720045000,-150,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508721486000,-151,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508758749000,-153,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508761810000,-164,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508788271000,-158,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508788629000,-154,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508788989000,-158,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508798707000,-164,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508829310000,-170,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508840109000,-164,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508841186000,-170,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508841368000,-164,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508999590000,-158,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1508999769000,-152,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509081130000,-150,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509089230000,-147,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509091572000,-149,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509137653000,-147,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509142332000,-150,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509203892000,-152,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509215951000,-151,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509217929000,-150,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509218650000,-152,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509225129000,-158,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509237007000,-157,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509237547000,-153,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509238449000,-152,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509242407000,-151,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509242588000,-150,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509245649000,-149,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509246008000,-148,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509246187000,-141,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509248362000,-142,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509248531000,-147,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509248723000,-149,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,Pinnacle,1509248887000,-150,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportsInt.,1508876290000,-180,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
Derek Brunson,SportsInt.,1508956030000,-175,Derek Brunson,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
