Bet,betsite,dates,odds,fighter1,fighter2,class,url
Kevin Lee,5Dimes,1494892448000,-120,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1494893526000,-125,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1494893707000,-130,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1494941767000,-135,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1495148409000,-125,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1495158488000,-120,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1496748427000,-115,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1497258365000,-120,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1497301745000,-115,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1497417308000,-120,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1497905583000,-125,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1497917345000,-130,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1497918244000,-135,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498069993000,-130,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498220466000,-140,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498243147000,-135,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498333686000,-130,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498364647000,-125,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498411809000,-130,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498422245000,-125,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498447805000,-130,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498447986000,-135,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498448165000,-141,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,5Dimes,1498448345000,-145,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1496084407000,-125,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1496100965000,-130,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1496778665000,-125,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1497921126000,+130,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1497921667000,-135,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1498236668000,-138,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1498247288000,-139,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1498260968000,-140,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1498273928000,-142,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1498437546000,-141,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1498448346000,-133,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1498448706000,-136,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BetDSI,1498449065000,-160,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1496084408000,-125,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1496101146000,-130,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1496778309000,-125,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1496778486000,-130,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1496778666000,-125,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1497920945000,-135,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498236129000,-138,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498246929000,-139,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498260248000,-140,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498260429000,-139,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498260608000,-140,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498273568000,-142,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498273748000,-140,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498273928000,-142,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498437006000,-141,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498437546000,-142,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498437726000,-141,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
Kevin Lee,BookMaker,1498447625000,-133,Kevin Lee,Michael Chiesa,even,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
