Bet,betsite,dates,odds,fighter1,fighter2,class,url
Holly Holm,5Dimes,1600730647000,-110,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1600770247000,-115,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1600799052000,-115,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1600894808000,-120,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1600953855000,-125,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601326923000,-120,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601489300000,-125,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601500335000,-120,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601650697000,-115,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601661613000,-120,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601673980000,-112,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601734335000,-115,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601736615000,-120,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601737336000,-125,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601757730000,-120,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601763977000,-125,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601768296000,-122,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601782569000,-125,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601784496000,-122,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601786173000,-120,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,5Dimes,1601786886000,-125,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600746967000,-110,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600771450000,-119,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600778773000,-135,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600778894000,-130,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600779254000,-125,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600782254000,-118,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600808297000,-123,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600808898000,-132,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600809012000,-123,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600911002000,-130,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1600917371000,-123,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601183655000,-127,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601184731000,-123,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601256970000,-127,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601277032000,-123,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601284930000,-114,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601290810000,-119,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601309769000,-122,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601311455000,-119,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601328005000,-127,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601333047000,-125,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601348528000,-122,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601356564000,-120,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601402543000,-119,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601530808000,-115,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601558533000,-118,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601584811000,-119,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601664254000,-115,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601665332000,-118,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
Holly Holm,BetDSI,1601670497000,-119,Holly Holm,Irene Aldana,even,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
