Bet,betsite,dates,odds,fighter1,fighter2,class,url
Antonio Silva,5Dimes,1385406368000,-115,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1385408710000,-125,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1385409247000,-150,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1385410689000,-175,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1385418249000,-170,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1385426529000,-180,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1385574732000,-170,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1385879050000,-165,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1385914517000,-160,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1385961124000,-155,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386020531000,-145,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386057249000,-150,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386099369000,-155,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386123668000,-145,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386210250000,-140,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386280810000,-135,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386302228000,-130,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386343095000,-125,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386346329000,-130,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386365409000,-125,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386384671000,-130,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386386655000,-125,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386387212000,-130,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386387372000,-135,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386387731000,-140,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386387910000,-145,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,5Dimes,1386391329000,-150,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BetDSI,1386113770000,-150,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BetDSI,1386115264000,-145,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BetDSI,1386256871000,-140,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BetDSI,1386364873000,-130,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BetDSI,1386387375000,-125,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BetDSI,1386390254000,-150,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BetDSI,1386392057000,-160,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386113951000,-150,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386115268000,-145,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386319692000,-138,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386361994000,-140,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386364874000,-130,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386370994000,-120,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386372254000,-121,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386374778000,-130,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386386476000,-131,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386387555000,-125,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386388095000,-150,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386390075000,-150,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,BookMaker,1386391872000,-160,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1385406374000,-109,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1385408718000,-119,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1385409253000,-144,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1385410695000,-169,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1385418255000,-166,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1385426534000,-176,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1385574911000,-166,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1385879055000,-161,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1385914522000,-156,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1385961129000,-151,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1386020536000,-142,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1386057254000,-147,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1386099374000,-152,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
Antonio Silva,SportBet,1386123674000,-142,Antonio Silva,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
