Bet,betsite,dates,odds,fighter1,fighter2,class,url
Joanna Jedrzejczyk,5Dimes,1567640351000,-380,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1567677075000,-320,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1567699390000,-335,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1567966149000,-325,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1568359638000,-335,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1568518930000,-350,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1569539712000,-380,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1569643395000,-390,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1569766874000,-400,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570024092000,-390,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570310302000,-410,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570382286000,-450,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570391648000,-460,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570396324000,-400,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570455004000,-380,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570547529000,-370,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570626907000,-355,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570644186000,-300,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570661463000,-290,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570701247000,-320,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
Joanna Jedrzejczyk,5Dimes,1570714746000,-325,Joanna Jedrzejczyk,Michelle Waterson,even,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
