Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jeremy Stephens,5Dimes,1233159620000,+145,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1233435623000,+155,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1233471613000,+160,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1233511212000,+145,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1233574806000,+150,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1233821708000,+160,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1233855910000,+150,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1233902706000,+145,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1234014311000,+158,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1234026016000,+160,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1234054811000,+165,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,5Dimes,1234057510000,+170,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,BookMaker,1233099952000,+135,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,BookMaker,1233527110000,+145,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,BookMaker,1233965730000,+155,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,BookMaker,1233993629000,+160,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,BookMaker,1234044051000,+165,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
Jeremy Stephens,BookMaker,1234045843000,+160,Jeremy Stephens,Joe Lauzon,even,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
