Bet,betsite,dates,odds,fighter1,fighter2,class,url
Gegard Mousasi,5Dimes,1383504670000,+185,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1383556685000,+230,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1383604210000,+180,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1389137056000,+200,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1389374830000,+280,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1389377530000,+200,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1390350430000,+210,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1391029214000,+220,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1391396227000,+215,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1391813112000,+210,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392127386000,+195,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392136032000,+190,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392235390000,+195,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392395947000,+205,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392418636000,+200,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392420611000,+195,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392455900000,+220,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392477860000,+225,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392498555000,+210,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392498916000,+205,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392503236000,+200,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392516546000,+195,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392519247000,+200,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392520866000,+190,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392521767000,+188,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392522129000,+175,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392523029000,+180,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392523566000,+188,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392523929000,+185,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,5Dimes,1392525545000,+190,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,BetDSI,1391775851000,+205,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,BetDSI,1392186426000,+210,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,BetDSI,1392477316000,+206,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,BetDSI,1392487041000,+212,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
Gegard Mousasi,BetDSI,1392487397000,+227,Gegard Mousasi,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
