Bet,betsite,dates,odds,fighter1,fighter2,class,url
Corey Anderson,5Dimes,1486232287000,-120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1486236785000,+110,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1486248848000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1486323364000,+115,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1487702705000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489336926000,+125,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489428010000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489587125000,+125,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489738147000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489755424000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489813926000,+115,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489843274000,+110,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489843452000,+115,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489847411000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489851546000,+115,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489874766000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489876567000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489877106000,+140,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,5Dimes,1489877286000,+125,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1486250826000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1488767223000,+127,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489451405000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489474624000,+119,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489474983000,+125,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489683247000,+115,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489701245000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489807805000,+117,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489811226000,+118,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489811406000,+117,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489811587000,+118,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489863427000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489863787000,+121,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489876206000,+125,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489876568000,+127,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489877650000,+131,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489878006000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BetDSI,1489878367000,+131,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1486250467000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1488766685000,+127,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1488766863000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1488767044000,+127,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489450694000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489474444000,+125,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489474624000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489474806000,+125,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489682887000,+115,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489683066000,+125,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489683247000,+115,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489701245000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489807098000,+117,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489807446000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489807631000,+117,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489810866000,+118,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489862888000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489863248000,+121,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489863622000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489863787000,+121,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489875846000,+125,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489876027000,+121,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489876206000,+127,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489876386000,+125,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489876568000,+127,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489877107000,+131,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489877286000,+126,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489877465000,+127,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,BookMaker,1489877650000,+131,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1486232289000,-114,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1486236786000,+116,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1486248852000,+126,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1486323365000,+119,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1487702706000,+123,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489336927000,+128,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489428011000,+133,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489587126000,+128,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489738148000,+133,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489755426000,+123,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489813928000,+118,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489843276000,+113,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489843453000,+118,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489847413000,+123,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489851548000,+118,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489874768000,+123,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489876568000,+133,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489877107000,+143,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,SportBet,1489877288000,+128,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,Bovada,1486276385000,+130,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,Bovada,1486482126000,+115,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
Corey Anderson,Bovada,1487615054000,+120,Corey Anderson,Jimi Manuwa,even,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
