Bet,betsite,dates,odds,fighter1,fighter2,class,url
Frank Mir,5Dimes,1435013645000,+135,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1435051985000,+145,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1435169347000,+150,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1435842905000,+155,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1435951627000,+160,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1436116686000,+165,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1436908151000,+170,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1436914088000,+175,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1436992204000,+185,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1437002466000,+188,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1437014345000,+170,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,5Dimes,1437022626000,+165,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1436500269000,+160,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1436500628000,+154,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1436767926000,+159,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1436848389000,+160,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1436907971000,+161,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1436908690000,+166,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1436976731000,+173,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1436977091000,+170,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1436986270000,+180,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437001572000,+185,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437003911000,+180,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437006071000,+175,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437007870000,+180,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437009490000,+185,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437014530000,+181,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437015070000,+155,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437015431000,+166,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437015798000,+170,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437016151000,+170,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437016510000,+166,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437016869000,+159,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437018488000,+173,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437018670000,+170,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437019755000,+166,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437020289000,+161,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437022090000,+153,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BetDSI,1437022449000,+169,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BookMaker,1436500632000,+160,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BookMaker,1436707813000,+161,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BookMaker,1436707995000,+160,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BookMaker,1436708172000,+161,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BookMaker,1436767568000,+159,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BookMaker,1436767748000,+161,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
Frank Mir,BookMaker,1436767928000,+159,Frank Mir,Todd Duffee,even,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
