Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anthony Smith,5Dimes,1588473183000,-170,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1588473363000,-175,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1588512965000,-195,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1588518362000,-180,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1588541947000,-180,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1588558324000,-175,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1588622222000,-195,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1588623124000,-185,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1588623483000,-170,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1588710426000,-160,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1588805105000,-155,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589113443000,-165,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589117406000,-175,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589147465000,-185,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589155024000,-175,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589304247000,-180,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589308218000,-175,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589313965000,-170,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589324227000,-178,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589337365000,-170,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589337725000,-174,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589337905000,-178,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589374446000,-175,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589378227000,-180,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589386332000,-185,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589389927000,-175,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589399293000,-185,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589399648000,-175,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589399828000,-170,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589400367000,-172,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589402525000,-185,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589407927000,-190,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589409723000,-195,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589413865000,-190,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589422147000,-200,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589424848000,-210,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589425745000,-215,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589427366000,-220,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589427547000,-230,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589427725000,-220,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,5Dimes,1589428265000,-230,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,BetDSI,1588624565000,-175,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,BetDSI,1588644904000,-167,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,BetDSI,1588661823000,-179,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,BetDSI,1588689366000,-161,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,BetDSI,1588786208000,-156,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
Anthony Smith,BetDSI,1588798808000,-159,Anthony Smith,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
