Bet,betsite,dates,odds,fighter1,fighter2,class,url
Josh Burkman,5Dimes,1198353606000,+155,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1198671605000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1198843204000,+165,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1198845604000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1198923604000,+165,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1199540405000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1200831607000,+165,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1200878403000,+170,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1200985204000,+175,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1200986416000,+170,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1201006804000,+165,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1201059606000,+175,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1201060808000,+170,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1201092004000,+165,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,5Dimes,1201128006000,+170,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,BookMaker,1198533620000,+150,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,BookMaker,1200946809000,+165,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,BookMaker,1201078810000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,BookMaker,1201080012000,+170,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,BookMaker,1201098023000,+150,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,BookMaker,1201134012000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,BookMaker,1201141210000,+180,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,BookMaker,1201142410000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,SportBet,1200652809000,+145,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,SportBet,1201108808000,+150,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Bovada,1198201206000,+135,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Bovada,1201047606000,+145,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Bovada,1201092006000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Bovada,1201113607000,+155,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Bovada,1201125613000,+180,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Bovada,1201134007000,+200,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Bovada,1201141206000,+185,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Sportsbook,1198184422000,+155,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Sportsbook,1201060823000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Sportsbook,1201134022000,+190,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198201277000,+161,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198213311000,+194,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198214430000,+221,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198215671000,+203,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198216889000,+185,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198220478000,+167,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198221655000,+149,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198230076000,+167,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198257695000,+149,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198262499000,+161,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198279262000,+152,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198347679000,+155,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198363230000,+151,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198528834000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1198958455000,+161,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1199312472000,+166,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1199368859000,+167,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1199404848000,+166,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1199641245000,+168,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1199646073000,+171,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1199733647000,+166,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1200553302000,+164,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1200780141000,+166,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1200783682000,+161,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1200793265000,+159,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1200883288000,+163,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1200942032000,+161,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201064424000,+163,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201078887000,+165,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201087251000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201089647000,+159,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201098065000,+162,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201110090000,+156,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201118462000,+158,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201122082000,+160,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201123277000,+162,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201125678000,+164,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201126862000,+166,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
Josh Burkman,Pinnacle,1201134091000,+168,Josh Burkman,Mike Swick,even,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
