Bet,betsite,dates,odds,fighter1,fighter2,class,url
Kevin Lee,5Dimes,1556047627000,-135,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556047808000,-155,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556047993000,-140,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556048349000,-130,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556049428000,-145,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556056809000,-130,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556057348000,-145,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556077146000,-140,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556078226000,-130,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556110637000,-140,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556165170000,-135,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556212869000,-140,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556289196000,-130,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556289372000,-120,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
Kevin Lee,5Dimes,1556298908000,-135,Kevin Lee,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
