Bet,betsite,dates,odds,fighter1,fighter2,class,url
Demetrious Johnson,5Dimes,1313694903000,+320,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1313832304000,+300,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1314268203000,+310,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1314365704000,+320,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1314370503000,+330,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1314462905000,+350,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1314536103000,+320,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1316032203000,+325,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1316871005000,+340,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317033603000,+350,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317222308000,+370,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317321604000,+390,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317381303000,+370,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317412203000,+375,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317412504000,+390,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317446403000,+410,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317451803000,+400,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317494403000,+420,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317504603000,+435,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317514203000,+425,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317522903000,+435,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,5Dimes,1317523203000,+425,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,BookMaker,1313090724000,+325,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,BookMaker,1313552708000,+310,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,BookMaker,1317058511000,+320,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,BookMaker,1317242720000,+335,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,BookMaker,1317420910000,+350,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,BookMaker,1317486910000,+400,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,BookMaker,1317524109000,+425,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
Demetrious Johnson,SportBet,1313694925000,+320,Demetrious Johnson,Dominick Cruz,even,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
