Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cynthia Calvillo,5Dimes,1590347706000,-130,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1590432125000,-125,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1590617889000,-120,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1590917949000,-125,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1590942246000,-115,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591368312000,-110,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591376232000,-105,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591566484000,+100,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591567746000,-105,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591703107000,+100,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591784469000,-105,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591804990000,-110,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591969156000,-105,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591978694000,-105,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591981751000,-112,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
Cynthia Calvillo,5Dimes,1591988048000,-120,Cynthia Calvillo,Jessica Eye,even,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
