Bet,betsite,dates,odds,fighter1,fighter2,class,url
Gilbert Burns,5Dimes,1589141525000,+100,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1589381828000,+105,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1589404148000,+125,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1589435561000,+130,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1589475426000,+135,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1589735706000,+140,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1589856487000,+150,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1589871604000,+145,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1589929565000,+150,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1589991307000,+155,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590005167000,+160,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590005347000,+155,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590011643000,+150,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590018124000,+160,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590018315000,+155,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590164646000,+165,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590191288000,+160,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590340864000,+165,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590508443000,+160,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590511509000,+155,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
Gilbert Burns,5Dimes,1590527163000,+145,Gilbert Burns,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
