Bet,betsite,dates,odds,fighter1,fighter2,class,url
Benson Henderson,5Dimes,1389909432000,-210,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1389909982000,-285,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1389910514000,-280,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1389915551000,-260,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1389924371000,-230,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1389983962000,-260,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390021034000,-280,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390146311000,-290,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390150991000,-280,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390337834000,-270,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390400296000,-280,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390493960000,-290,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390510885000,-310,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390582991000,-290,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390601708000,-280,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390617014000,-270,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390669397000,-260,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390670288000,-250,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390680012000,-260,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390681271000,-280,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390702691000,-295,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390703410000,-305,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,5Dimes,1390703956000,-310,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BetDSI,1390482811000,-285,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BetDSI,1390595227000,-300,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BetDSI,1390654276000,-290,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BetDSI,1390685415000,-295,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BetDSI,1390698068000,-300,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BetDSI,1390700712000,-340,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BetDSI,1390703779000,-330,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BookMaker,1390482640000,-285,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BookMaker,1390595228000,-300,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BookMaker,1390654091000,-290,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BookMaker,1390658777000,-289,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BookMaker,1390681661000,-296,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BookMaker,1390685601000,-295,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BookMaker,1390690996000,-302,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BookMaker,1390698076000,-300,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,BookMaker,1390703595000,-330,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1389909439000,-203,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1389910008000,-273,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1389910520000,-268,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1389915557000,-248,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1389924379000,-221,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1389983979000,-248,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390021047000,-268,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390146317000,-278,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390150997000,-271,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390337842000,-264,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390400303000,-274,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390494013000,-283,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390510939000,-302,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390582993000,-293,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390601710000,-283,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390617017000,-274,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390669399000,-264,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390670290000,-254,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390680016000,-264,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390681274000,-283,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390702694000,-302,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390703413000,-311,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,SportBet,1390703959000,-316,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,Bovada,1390226411000,-285,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,Bovada,1390520892000,-300,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,Bovada,1390529530000,-325,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,Bovada,1390657342000,-310,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
Benson Henderson,Bovada,1390673529000,-300,Benson Henderson,Josh Thomson,even,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
