Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alistair Overeem,5Dimes,1597953365000,-195,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1597954934000,-215,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1597986126000,-240,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598047088000,-260,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598142137000,-270,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598151967000,-255,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598152569000,-245,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598158455000,-215,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598191443000,-190,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598204895000,-200,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598275093000,-210,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598301363000,-200,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598324527000,-190,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598535730000,-185,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598673853000,-175,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598805847000,-170,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598819650000,-165,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598823122000,-170,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598826123000,-165,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598900405000,-150,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1598900643000,-145,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1599050769000,-147,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1599079332000,-145,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1599101168000,-150,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1599168493000,-160,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1599186969000,-155,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1599242773000,-150,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1599248049000,-152,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1599248408000,-155,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1599248530000,-160,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
Alistair Overeem,5Dimes,1599255250000,-162,Alistair Overeem,Augusto Sakai,even,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
