Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cory Sandhagen,5Dimes,1601081413000,-140,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601083096000,-155,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601084404000,-175,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601094856000,-165,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601229486000,-155,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601229724000,-160,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601308452000,-165,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601316371000,-170,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601326803000,-175,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601409737000,-170,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601417172000,-165,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601483597000,-170,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601563448000,-160,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601677697000,-155,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601820135000,-150,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601820257000,-145,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601832732000,-140,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1601931967000,-135,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1602012494000,-130,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1602099005000,-135,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1602109569000,-140,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1602281763000,-132,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1602313927000,-133,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1602315603000,-138,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1602345485000,-140,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
Cory Sandhagen,5Dimes,1602358083000,-130,Cory Sandhagen,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
