Bet,betsite,dates,odds,fighter1,fighter2,class,url
Justin Gaethje,Bet365,1596007448000,200,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1596015965000,187,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1596032895000,200,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1596033255000,225,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1596981252000,200,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1599398780000,225,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1602237369000,240,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1602918489000,250,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603040889000,275,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603055885000,250,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603120809000,275,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603139167000,250,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603139291000,240,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603143729000,250,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603156685000,275,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603158244000,300,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603158992000,275,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603448407000,250,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603448889000,275,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603487289000,250,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603565289000,240,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603569736000,225,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
Justin Gaethje,Bet365,1603571526000,240,Justin Gaethje,Khabib Nurmagomedov,even,https://www.bestfightodds.com/search?query=UFC%20254
