Bet,betsite,dates,odds,fighter1,fighter2,class,url
Colby Covington,Bet365,1598871009000,-333,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,Bet365,1598888071000,-400,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,Bet365,1598981292000,-333,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,Bet365,1599663847000,-400,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,Bet365,1600027806000,-357,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1598046607000,-285,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1598151967000,-300,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1598299215000,-325,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1598738895000,-335,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1599091688000,-350,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1599182174000,-355,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1599357612000,-345,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1599375492000,-350,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600012688000,-400,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600014258000,-360,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600014376000,-355,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600015125000,-350,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600113487000,-360,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600157167000,-345,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600181296000,-350,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600201691000,-360,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600263374000,-345,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600401247000,-335,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600424049000,-325,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600456215000,-310,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600469167000,-320,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600483447000,-310,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600502057000,-305,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
Colby Covington,5D,1600526897000,-310,Colby Covington,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
