Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alexander Volkov,BetMGM,1624043464000,135,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,BetMGM,1624179682000,145,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,BetMGM,1624432942000,140,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,BetMGM,1624493902000,130,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,DraftKings,1619627493000,120,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,DraftKings,1623082361000,124,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,DraftKings,1624238116000,135,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,DraftKings,1624335676000,140,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,DraftKings,1624459454000,145,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,DraftKings,1624506065000,130,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,DraftKings,1624564038000,125,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624043482000,135,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624207220000,145,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624215261000,150,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624300341000,145,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624313181000,150,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624351699000,145,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624480825000,140,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624489345000,130,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624493545000,125,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624565912000,120,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624568552000,130,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624696823000,145,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624719387000,125,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,WilliamHi.,1624730064000,140,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,PointsBet,1624043464000,125,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
Alexander Volkov,PointsBet,1624156572000,128,Alexander Volkov,Ciryl Gane,even,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
