Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anderson Silva,Bet365,1603037423000,180,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,Bet365,1603884183000,187,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,Bet365,1604124369000,200,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1602802326000,170,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1602804006000,160,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1602806767000,155,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1602950048000,160,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1603032966000,175,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1603033084000,180,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1603462925000,185,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1603478412000,180,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1603634287000,185,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1603822202000,190,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1603998603000,185,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1604094123000,195,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
Anderson Silva,5D,1604102527000,200,Anderson Silva,Uriah Hall,even,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
