Bet,betsite,dates,odds,fighter1,fighter2,class,url
Aspen Ladd,BetMGM,1633612223000,-135,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,BetMGM,1633710144000,-125,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,BetMGM,1633713863000,-120,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,BetMGM,1633783228000,-155,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,BetMGM,1633798828000,-150,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,BetMGM,1633885942000,-155,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,BetMGM,1633982183000,-150,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,BetMGM,1634330904000,-135,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,DraftKings,1633694537000,-120,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,DraftKings,1633705809000,-125,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,DraftKings,1633711936000,-120,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,DraftKings,1633712301000,-125,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,DraftKings,1633712418000,-120,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,DraftKings,1633770636000,-135,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
Aspen Ladd,DraftKings,1633772893000,-125,Aspen Ladd,Norma Dumont,even,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
