Bet,betsite,dates,odds,fighter1,fighter2,class,url
Ciryl Gane,DraftKings,1613489683000,-278,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,DraftKings,1614101720000,-265,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,DraftKings,1614481613000,-250,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,Bet365,1611071650000,-333,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,Bet365,1612834811000,-278,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,Bet365,1614470769000,-250,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,BetWay,1611219383000,-350,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,BetWay,1612423705000,-300,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,BetWay,1614207503000,-275,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,BetWay,1614361342000,-250,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,BetWay,1614482058000,-235,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,5D,1610997487000,-300,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,5D,1611007563000,-350,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
Ciryl Gane,5D,1611521882000,-300,Ciryl Gane,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
