Bet,betsite,dates,odds,fighter1,fighter2,class,url
Augusto Sakai,DraftKings,1621110441000,105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,DraftKings,1622199873000,-106,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,DraftKings,1622546557000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,DraftKings,1622630791000,105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,DraftKings,1622784987000,-104,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,DraftKings,1622879144000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Bet365,1620900768000,110,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Bet365,1621910327000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Bet365,1622934887000,110,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Bet365,1622943407000,125,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,BetWay,1620904356000,105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,BetWay,1622103273000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,BetWay,1622372434000,-105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,BetWay,1622534799000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,BetWay,1622940394000,110,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1620847228000,115,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1620862768000,105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1620934768000,110,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1621587028000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1621633251000,110,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1621771228000,105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1621885048000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622146528000,-105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622481389000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622546307000,105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622563167000,110,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622731588000,105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622751448000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622837742000,105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622917907000,102,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622918734000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622920588000,102,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622932168000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622940568000,102,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622943088000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,5D,1622943749000,-105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1620791049000,-140,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1620791288000,-120,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1620791409000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1620819127000,105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1620913809000,120,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1620974050000,115,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1621785724000,110,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1621864803000,108,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1621869122000,-101,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1622071563000,-104,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1622484723000,100,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1622491565000,105,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
Augusto Sakai,Ref,1622546769000,115,Augusto Sakai,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
