Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anthony Smith,BetMGM,1630348943000,-165,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,BetMGM,1631644583000,-165,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,BetMGM,1631768783000,-160,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,BetMGM,1631769023000,-165,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,DraftKings,1630428368000,-180,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,DraftKings,1630452611000,-170,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,DraftKings,1630452740000,-180,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,DraftKings,1630453096000,-170,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,DraftKings,1630542863000,-180,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,DraftKings,1630560855000,-170,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,DraftKings,1630588097000,-180,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,DraftKings,1630950375000,-160,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,DraftKings,1630950607000,-170,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
Anthony Smith,DraftKings,1630950859000,-160,Anthony Smith,Ryan Spann,even,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
