Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cory Sandhagen,BetMGM,1624043464000,-165,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,BetMGM,1625030602000,-175,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,BetMGM,1626715462000,-185,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,BetMGM,1626846022000,-190,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,BetMGM,1627088423000,-225,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,BetMGM,1627098503000,-225,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,DraftKings,1625050878000,-167,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,DraftKings,1626448706000,-180,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,DraftKings,1626585022000,-190,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,DraftKings,1626651259000,-195,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,DraftKings,1626652212000,-200,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
Cory Sandhagen,DraftKings,1626653061000,-180,Cory Sandhagen,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
