Bet,betsite,dates,odds,fighter1,fighter2,class,url
Claudia Gadelha,5Dimes,1453236846000,+145,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1453240986000,+170,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1453241166000,+175,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1453406590000,+175,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1454538606000,+170,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1461689297000,+180,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1462815753000,+190,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1465483865000,+180,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1466449926000,+170,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1466525348000,+160,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1466802545000,+150,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467089824000,+145,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467099723000,+140,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467129784000,+135,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467143463000,+130,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467147072000,+120,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467152103000,+130,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467152284000,+120,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467156603000,+130,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467156784000,+120,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467297185000,+110,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467576184000,+105,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
Claudia Gadelha,5Dimes,1467648904000,+100,Claudia Gadelha,Joanna Jedrzejczyk,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
