Bet,betsite,dates,odds,fighter1,fighter2,class,url
Efrain Escudero,5Dimes,1229082015000,+310,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,5Dimes,1229089215000,+320,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,5Dimes,1229113216000,+300,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,5Dimes,1229121622000,+313,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,5Dimes,1229172017000,+315,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,5Dimes,1229181617000,+300,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,5Dimes,1229197217000,+290,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,5Dimes,1229198418000,+270,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,5Dimes,1229202018000,+260,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,5Dimes,1229205624000,+300,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,BookMaker,1228948944000,+285,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,BookMaker,1229029298000,+300,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,BookMaker,1229210670000,+280,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,BookMaker,1229216724000,+270,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,BookMaker,1229229763000,+280,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,SportBet,1229108468000,+275,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,SportBet,1229194877000,+235,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Bovada,1229019628000,+300,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Bovada,1229025624000,+275,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Bovada,1229204443000,+275,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Bovada,1229218830000,+250,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Bovada,1229228427000,+275,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Sportsbook,1229031677000,+300,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Sportsbook,1229226372000,+280,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Pinnacle,1229035426000,+360,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Pinnacle,1229041328000,+351,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Pinnacle,1229044955000,+336,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Pinnacle,1229049747000,+332,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Pinnacle,1229053343000,+324,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Pinnacle,1229055760000,+328,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Pinnacle,1229059353000,+337,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Pinnacle,1229064149000,+327,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Pinnacle,1229066544000,+326,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
Efrain Escudero,Pinnacle,1229074950000,+330,Efrain Escudero,Phillipe Nover,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
