Bet,betsite,dates,odds,fighter1,fighter2,class,url
Clay Guida,5Dimes,1237176010000,+220,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1239558307000,+230,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1242168308000,+240,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1242340208000,+245,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1242905410000,+250,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1243077308000,+245,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1243170908000,+235,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1243511108000,+250,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1244634309000,+245,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245067208000,+240,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245394808000,+245,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245396608000,+240,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245414608000,+255,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245417308000,+260,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245478509000,+270,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245510009000,+290,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245510909000,+270,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245537909000,+290,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245545118000,+300,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,5Dimes,1245546009000,+305,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1236887131000,+215,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1242108009000,+225,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1244911513000,+235,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1244933113000,+225,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1245238212000,+240,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1245461414000,+255,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1245467715000,+260,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1245538815000,+280,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1245541514000,+275,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1245544213000,+300,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1245548713000,+310,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1245550515000,+315,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1245551420000,+320,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
Clay Guida,BookMaker,1245554122000,+345,Clay Guida,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
