Bet,betsite,dates,odds,fighter1,fighter2,class,url
Brandon Vera,5Dimes,1253709919000,+135,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1253742334000,+115,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1253787319000,+110,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1253900722000,-105,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1254534327000,-110,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1254573014000,-115,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1254653114000,-105,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1254654923000,-120,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1254943827000,-130,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1254959128000,-115,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1255220114000,-120,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1255452311000,-110,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1255992312000,-115,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1255994112000,-110,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1256016617000,-120,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1256017515000,-115,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1256169631000,-105,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1256561111000,+100,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1256940034000,-105,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1256966135000,+100,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1257723015000,-105,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258047019000,+102,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258057833000,-101,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258058728000,-105,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258066834000,-107,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258092914000,-112,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258108221000,-110,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258173034000,-108,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258174841000,-112,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258182924000,-108,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258219841000,-115,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258224339000,-117,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258226137000,-120,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258228831000,-130,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258229722000,-133,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258234225000,-140,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,5Dimes,1258235132000,-155,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,BookMaker,1253840429000,+100,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,BookMaker,1253844019000,-103,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,BookMaker,1253855723000,-120,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,BookMaker,1253856624000,-115,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,BookMaker,1253857525000,-107,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
Brandon Vera,BookMaker,1253865625000,-105,Brandon Vera,Randy Couture,even,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
