Bet,betsite,dates,odds,fighter1,fighter2,class,url
Rashad Evans,5Dimes,1259072115000,-155,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1259082915000,-175,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1259093713000,-185,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1259157613000,-195,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1259748022000,-205,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1259762417000,-195,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1259927113000,-210,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1260190817000,-200,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1260499517000,-220,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1260657024000,-200,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1261221332000,-210,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1262439029000,-195,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1262447129000,-190,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1262451647000,-188,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1262457934000,-185,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,5Dimes,1262464231000,-180,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,BookMaker,1259871344000,-205,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,BookMaker,1260291628000,-195,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,BookMaker,1261111526000,-205,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
Rashad Evans,BookMaker,1261890028000,-207,Rashad Evans,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
